unifact_id,uni_name,country_name,year,teaching,research,citations,industry_income,international_outlook
243,Technical University of Munich,Germany,2016,61,66,80.1,99.2,63.8
244,TU Dortmund University,Germany,2016,34.2,29.8,55.3,48.6,40.8
245,TU Dresden,Germany,2016,41.4,45.8,66.1,99.7,47.7
246,Ulm University,Germany,2016,35.2,23.9,86.4,58.4,58.2
247,University of Bayreuth,Germany,2016,32.2,31.2,60.1,56.4,52.6
248,University of Bonn,Germany,2016,45.1,47.5,85.3,,63.6
249,University of Bremen,Germany,2016,30.9,32.7,50,46,50
250,University of Cologne,Germany,2016,42.2,38,75,68.5,53.1
251,University of Duisburg Essen,Germany,2016,32.3,27,81.3,82.3,48.5
252,University of Erlangen Nuremberg,Germany,2016,51.7,39.7,75.2,99.4,47
253,University of Freiburg,Germany,2016,47.4,51.1,80.5,100,60.3
254,University of Gottingen,Germany,2016,49.3,54.5,72.7,31.8,56.4
255,University of Greifswald,Germany,2016,30.1,23.5,61.3,32.6,41.7
256,University of Hamburg,Germany,2016,,,,,
257,University of Hohenheim,Germany,2016,30.9,33.8,51.5,52.8,50.3
258,University of Kaiserslautern,Germany,2016,29.6,22.6,47.5,80.2,44.1
259,University of Kiel,Germany,2016,32.3,20.5,89.5,,49.4
260,University of Konstanz,Germany,2016,38.5,46.7,61.9,92.4,58.3
261,University of Mannheim,Germany,2016,34.5,47.7,86.9,85.3,64.6
262,University of Marburg,Germany,2016,,,,,
263,University of Munster,Germany,2016,40.3,44.1,85.6,58.2,46.3
264,University of Paderborn,Germany,2016,,,,,
265,University of Passau,Germany,2016,,,,,
266,University of Potsdam,Germany,2016,,,,,
267,University of Siegen,Germany,2016,,,,,
268,University of Stuttgart,Germany,2016,40,44.5,55.7,99.8,52.7
269,University of Tubingen,Germany,2016,47,59.8,79.3,59.2,58.2
270,University of Wurzburg,Germany,2016,34.6,35.8,79.1,47.9,50.9
271,Bielefeld University,Germany,2017,37.6,43.7,55.6,59.3,46.2
272,Charite Universitatsmedizin Berlin,Germany,2017,,,,,
273,Free University of Berlin,Germany,2017,58.1,67.3,66.9,38.9,67.2
274,Goethe University Frankfurt,Germany,2017,32.4,27.5,79.7,38.2,59.4
275,Hamburg University of Technology,Germany,2017,,,,,
276,Heidelberg University,Germany,2017,66.7,65,90.8,60,62.7
277,Humboldt University of Berlin,Germany,2017,62.5,69,79.9,39.4,64.4
278,Johannes Gutenberg University of Mainz,Germany,2017,35.8,22,76.3,57.8,54.5
279,Justus Liebig University Giessen,Germany,2017,33.2,29.4,60.5,41.5,46.9
280,Karlsruhe Institute of Technology,Germany,2017,41.3,45.2,76.4,98.3,59.5
281,Leibniz University of Hanover,Germany,2017,37.4,37.1,43.2,62,44.5
282,LMU Munich,Germany,2017,70.5,73.4,87.4,100,65.4
283,Otto von Guericke University of Magdeburg,Germany,2017,23,14.2,40.3,41.1,49.2
284,Ruhr University Bochum,Germany,2017,36.7,36.2,56.9,59.2,51.6
285,RWTH Aachen University,Germany,2017,53.3,63.7,71.3,99.4,53.4
286,Technical University of Berlin,Germany,2017,49.8,59.3,74.3,98,60.8
287,Technical University of Darmstadt,Germany,2017,38.2,43,52.5,95.1,54.7
288,Technical University of Munich,Germany,2017,61,70.5,82,100,66.6
289,TU Dortmund University,Germany,2017,35.5,29.8,57.1,48.7,41.5
290,TU Dresden,Germany,2017,42.3,45.6,70.2,95.7,49.4
291,Ulm University,Germany,2017,38.2,38.1,91,84,56.9
292,University of Bayreuth,Germany,2017,32.6,31.4,66.3,63.5,53.8
293,University of Bonn,Germany,2017,47.2,40.8,88.3,37.3,64.6
294,University of Bremen,Germany,2017,36.2,29.4,61.7,47,50.4
295,University of Cologne,Germany,2017,40.2,38.3,79.2,64.3,55.9
296,University of Duisburg Essen,Germany,2017,34.1,28.7,87.5,77.8,50.6
297,University of Erlangen Nuremberg,Germany,2017,38.7,43.6,77.3,96,49.1
298,University of Freiburg,Germany,2017,45.9,49.9,83.6,100,61.1
299,University of Gottingen,Germany,2017,49.7,48,81.1,34.8,56.6
300,University of Greifswald,Germany,2017,30.3,19.7,60.6,37.7,43.8
301,University of Hamburg,Germany,2017,42,41.6,70.5,60.6,56.7
302,University of Hohenheim,Germany,2017,34.1,30.1,66.5,49.6,51.1
303,University of Kaiserslautern,Germany,2017,34.7,23.2,50.3,69.2,46.3
304,University of Kiel,Germany,2017,31.6,27.2,90.8,33.5,51.2
305,University of Konstanz,Germany,2017,39.8,44.5,64.4,73.1,62.6
306,University of Mannheim,Germany,2017,39.1,51.3,88.3,76.4,57.7
307,University of Marburg,Germany,2017,35.1,27.2,73.7,37.4,49.6
308,University of Munster,Germany,2017,40.8,38.3,84.4,62.6,44.3
309,University of Paderborn,Germany,2017,23.6,22.3,35.9,41.4,40.6
310,University of Passau,Germany,2017,,,,,
311,University of Potsdam,Germany,2017,,,,,
312,University of Siegen,Germany,2017,22.2,24,60.8,40.7,50.1
313,University of Stuttgart,Germany,2017,42.3,44.5,53.4,100,47.2
314,University of Tubingen,Germany,2017,46,56.2,82.9,56.3,57.8
315,University of Wurzburg,Germany,2017,34.8,37,83.4,48.1,51.2
316,Bielefeld University,Germany,2018,36.9,42,58.6,54.5,46.3
317,Charite Universitatsmedizin Berlin,Germany,2018,43.3,39.2,88.6,87.5,60.7
318,Free University of Berlin,Germany,2018,58.7,66.5,60.6,39.8,71.8
319,Goethe University Frankfurt,Germany,2018,32.5,27.8,73.4,38.6,60.7
320,Hamburg University of Technology,Germany,2018,34.4,23.1,51.6,87.9,48.9
321,Heidelberg University,Germany,2018,63.6,62.2,94.2,56,64.7
322,Humboldt University of Berlin,Germany,2018,61.9,67.1,76.1,38.6,65.6
